Akun,Tweet,Lokasi
https://twitter.com/pak_starx,"Ganjar Pranowo dorong MPP Digital apabila MPP di kota Semarang tidak efisien. Sebab zaman sudah berubah, teknologi pun juga beralih ke digital.

Sehingga diharapkan dengan beralihnya MPP ke digital kota Semarang lebih cepat proses digitalisasinya. https://t.co/RW4XPQmamc",
https://twitter.com/Candras72713474,"@ganjarpranowo Ngomong itu mudah,",
https://twitter.com/__SudutPandang,"@ralucublass @jokowi @ganjarpranowo @prabowo Bantah dengan narasi kalau itu salah; itu baru cerdas!😂

Tabiat kalian kan beraninya rame² melakukan persekusi🤮",
https://twitter.com/EkoWitono9,"Wkwkwk, Penjilat @__AnakKolong makin lugas pasang badan bela @ganjarpranowo, mainkan jurus tipu"" ala Aidit bertemakan Islamphobia. Bilang aja jujur berperilaku &amp; berkepribadian 11-12 dg beliaunya. Tak perlu bangun narasi asal bunyi. Sampaikan bukti prestasi di Jateng bila perlu. https://t.co/CXPhPB6NSL",
https://twitter.com/PuspitoLardhi,"Apa kapasitasnya ganjar kok ikut2anCEK FAKTA: Akhirnya, Indonesia Resmi Jadi Tuan Rumah Piala Dunia U-17 2023 Gantikan Peru dan Ganjar Pranowo Berikan Izin? https://t.co/HxVVeqtkIO",
https://twitter.com/kandraja5,"@ch_chotimah2 @ganjarpranowo Benar Ir. Soekarno pernah bicara:
Penjajahan diatas dunia hrs di hapuskan...
Ir. Soekarno jg pernah bicara:
""Perjuanganku akan lebih mudah krn melawan penjajah tp perjuangan kalian akan lebih sulit krn melawan bangsa sendiri""
Mengenal pribadi scr utuh ❤️",
https://twitter.com/Elbert20905987,@putri_Aalona @ganjarpranowo seperti nya penyusup ... pengikut nya masih nol,
https://twitter.com/gmc_sulsel,#GanjarPranowo #Ganjar #rambutputihpresidenku #ayahganjarpresiden2024 https://t.co/URt1cGVBUr,
https://twitter.com/HendroW1977,"Hanya Pak @ganjarpranowo yg mengucapakan selamat paskah. Beliau tidak peduli akan di hujat kafir, murtad, munafik, zeonis, PKI oleh kadrun intoleran radikalis idiot.  Sosok yg diperlukan bangsa Indonesia.",
https://twitter.com/tribunnews,"Video momen salat Jumat bersama Presiden Jokowi dan Ganjar Pranowo itu pertama kali diunggah oleh Ganjar pada akun media sosial. Namun ada saja yang gagal fokus melihat Gibran yang sedang menenteng sandal jepit itu. (ist)
#GibranRakabuming 

https://t.co/GF6JuCYt1r",
https://twitter.com/Jafar_Bahloul,"@BosPurwa @ganjarpranowo Koster-Ganjar untuk 2024

merdeka !!",
https://twitter.com/Widyarenee,"Jelang Perayaan Minggu Paskah 2023, Gub Ganjar Pranowo meninjau persiapan di Gereja Antonius Purbayan Kota Solo pd Sabtu siang 08/04.
Ada sekitar 4000 umat Kristiani yg akan mengikuti misa jelang Paskah di gereja tsb.
Semoga semua aman, lancar &amp; damai. https://t.co/1RcViwJsZI",
https://twitter.com/yosuabvv,@ganjarpranowo Berkah Dalem pak Gub,
https://twitter.com/Partai_Slebew,@KakekHalal Sehat selalu pak @ganjarpranowo 🙏,
https://twitter.com/SahabatGanjarGK,"Sahabat Ganjar kembali menjalin tali silaturahmi di Bulan Suci Ramadhan dengan ratusan warga Kabupaten Jombang yang tergabung kedalam Komunitas Ojek Online. 
#GanjarPranowo
#SahabatGanjar
#GanjarPilihanRakyat
#JawaTimur https://t.co/dB09ZiJUAX",
https://twitter.com/ResLexan,@khojan_x_x @Tita83079013 @ganjarpranowo Komen pake produk penyuka celeng 🤣🤣🤣,
https://twitter.com/pak_starx,"Para lansia yang tinggal di panti Wredha merasa bahagia lantaran bertemu dengan Ganjar Pranowo. 

Di jumat Agung ini para lansia merasa mendapatkan hadiah spesial karena sudah diberi kesempatan untuk bertemu seorang Gubernur Jawa Tengah. https://t.co/AZupWBIEpJ",
